ZipCode,GeoID_Label,Households_Estimate,MHI_Estimate
6390,ZCTA5 06390,77,150703
7421,ZCTA5 07421,2651,90412
10001,ZCTA5 10001,12347,85221
10002,ZCTA5 10002,33461,35449
10003,ZCTA5 10003,26699,104441
10004,ZCTA5 10004,1587,140450
10005,ZCTA5 10005,4239,154213
10006,ZCTA5 10006,1815,145893
10007,ZCTA5 10007,2761,242644
10009,ZCTA5 10009,29725,60521
10010,ZCTA5 10010,15972,115084
10011,ZCTA5 10011,28753,123208
10012,ZCTA5 10012,12349,104561
10013,ZCTA5 10013,12207,106056
10014,ZCTA5 10014,18481,127973
10016,ZCTA5 10016,28681,109250
10017,ZCTA5 10017,10076,118469
10018,ZCTA5 10018,4993,107861
10019,ZCTA5 10019,24512,99063
10020,ZCTA5 10020,0,-
10021,ZCTA5 10021,24912,123842
10022,ZCTA5 10022,17873,133208
10023,ZCTA5 10023,33133,123951
10024,ZCTA5 10024,28418,126107
10025,ZCTA5 10025,42546,82352
10026,ZCTA5 10026,15401,54349
10027,ZCTA5 10027,23607,45536
10028,ZCTA5 10028,26435,119203
10029,ZCTA5 10029,31496,34015
10030,ZCTA5 10030,12258,36118
10031,ZCTA5 10031,22274,44040
10032,ZCTA5 10032,20724,41890
10033,ZCTA5 10033,19586,53044
10034,ZCTA5 10034,16135,50909
10035,ZCTA5 10035,14172,27932
10036,ZCTA5 10036,15624,93707
10037,ZCTA5 10037,9735,39979
10038,ZCTA5 10038,10133,85032
10039,ZCTA5 10039,11153,34197
10040,ZCTA5 10040,16222,47189
10044,ZCTA5 10044,4820,92623
10065,ZCTA5 10065,15878,124322
10069,ZCTA5 10069,2574,137105
10075,ZCTA5 10075,11373,129594
10103,ZCTA5 10103,0,-
10110,ZCTA5 10110,0,-
10111,ZCTA5 10111,0,-
10112,ZCTA5 10112,0,-
10115,ZCTA5 10115,0,-
10119,ZCTA5 10119,0,-
10128,ZCTA5 10128,31644,111937
10152,ZCTA5 10152,0,-
10153,ZCTA5 10153,0,-
10154,ZCTA5 10154,0,-
10162,ZCTA5 10162,655,182530
10165,ZCTA5 10165,0,-
10167,ZCTA5 10167,0,-
10168,ZCTA5 10168,0,-
10169,ZCTA5 10169,0,-
10170,ZCTA5 10170,0,-
10171,ZCTA5 10171,0,-
10172,ZCTA5 10172,0,-
10173,ZCTA5 10173,0,-
10174,ZCTA5 10174,0,-
10177,ZCTA5 10177,0,-
10199,ZCTA5 10199,0,-
10271,ZCTA5 10271,0,-
10278,ZCTA5 10278,0,-
10279,ZCTA5 10279,0,-
10280,ZCTA5 10280,4747,161419
10282,ZCTA5 10282,2412,"250,000+"
10301,ZCTA5 10301,14520,55818
10302,ZCTA5 10302,6266,60968
10303,ZCTA5 10303,8269,59898
10304,ZCTA5 10304,14521,54567
10305,ZCTA5 10305,14694,76044
10306,ZCTA5 10306,19861,80025
10307,ZCTA5 10307,5156,81356
10308,ZCTA5 10308,10653,91953
10309,ZCTA5 10309,11455,100343
10310,ZCTA5 10310,8218,69838
10311,ZCTA5 10311,0,-
10312,ZCTA5 10312,21230,90797
10314,ZCTA5 10314,31307,80956
10451,ZCTA5 10451,18783,26979
10452,ZCTA5 10452,25949,27206
10453,ZCTA5 10453,27338,24421
10454,ZCTA5 10454,13085,21542
10455,ZCTA5 10455,14202,25489
10456,ZCTA5 10456,30096,26724
10457,ZCTA5 10457,24245,27036
10458,ZCTA5 10458,27228,32129
10459,ZCTA5 10459,16066,25762
10460,ZCTA5 10460,20359,25948
10461,ZCTA5 10461,19013,55847
10462,ZCTA5 10462,29679,49962
10463,ZCTA5 10463,28537,58881
10464,ZCTA5 10464,1936,87853
10465,ZCTA5 10465,15685,74079
